brut,-56,-14,0,1633.6990196704865
startbrut,-61,-17,5.830951894845301,17.08699941635132
indipendent,-61,-17,5.830951894845301,2.0779998302459717
gradient,-56,-17,3.0,4.40500020980835
brut,-68,32,0,1657.9810073375702
startbrut,-67,35,3.1622776601683795,17.08299970626831
indipendent,-67,35,3.1622776601683795,2.0720129013061523
gradient,-67,35,3.1622776601683795,3.2060000896453857
brut,-104,6,0,1628.217013835907
startbrut,-103,1,5.0990195135927845,17.075001001358032
indipendent,-103,1,5.0990195135927845,2.066000461578369
gradient,-100,6,4.0,2.0479867458343506
brut,-88,-14,0,1629.848985671997
startbrut,-91,-11,4.242640687119285,17.044000148773193
indipendent,-91,-11,4.242640687119285,2.0639994144439697
gradient,-90,-11,3.605551275463989,2.023012638092041
brut,-50,-4,0,1621.0009987354279
startbrut,-51,-5,1.4142135623730951,17.06001329421997
indipendent,-51,-5,1.4142135623730951,2.0629994869232178
gradient,-51,-5,1.4142135623730951,2.414984941482544
brut,-54,58,0,1625.7688665390015
startbrut,-55,55,3.1622776601683795,17.011000633239746
indipendent,-55,55,3.1622776601683795,2.0570003986358643
gradient,-54,55,3.0,2.813000440597534
brut,-124,-38,0,1630.6620390415192
startbrut,-125,-37,1.4142135623730951,17.000014066696167
indipendent,-125,0,38.01315561749642,2.0559866428375244
gradient,-124,-40,2.0,2.0200002193450928
brut,-100,66,0,1703.4908301830292
startbrut,-93,55,13.038404810405298,17.405999898910522
indipendent,-93,55,13.038404810405298,2.0849997997283936
gradient,-79,55,23.706539182259394,2.446997880935669
